model,mmlu_avg,arc,hellaswag,latency_mean_ms,latency_std_ms,latency_p90_ms,decode_speed_mean,ram_peak_mean_gb,ttft_mean_ms,cold_start_ms,energy_per_tok_mean_j,degradation_mean_pct,tool_overall,tool_selection_acc,tool_param_acc,tool_no_call_acc,latency (ms)
Qwen2.5 0.5B,0.439,0.28,0.52,1169.25,353.34,1444.38,311.94,0.694,17.14,2629.3,0.4243006,68.72,0.606,0.68,0.56,0.75,1169 ± 353
TinyLlama 1.1B,0.252,0.33,0.63,939.49,346.13,1297.45,247.54,0.479,19.12,2649.62,0.442323,58.77,0.242,0.0,0.0,1.0,939 ± 346
Qwen2 1.5B,0.505,0.36,0.62,1618.17,627.69,2227.9,160.34,0.721,26.07,2934.65,0.7207426,155.13,0.242,0.0,0.0,1.0,1618 ± 628
Llama3.2 3B,0.498,0.41,0.67,2947.15,1061.25,3908.54,81.61,0.874,39.38,3705.8,1.2439953,81.06,0.727,1.0,0.96,0.0,2947 ± 1061
Phi-3 3.8B,0.658,0.61,0.66,3021.24,1040.31,3854.51,76.34,0.512,47.05,2359.23,1.2025312,209.62,0.242,0.0,0.0,1.0,3021 ± 1040
