model,total_cases,overall_accuracy,format_validity_rate,native_api_rate,n_tool_call_cases,tool_selection_acc,param_accuracy,param_partial_score,n_no_call_cases,no_call_accuracy,simple_call_acc,tool_selection_cat_acc,complex_params_acc,mean_latency_ms
Qwen2.5 0.5B,33,0.606,0.667,0.636,25,0.68,0.56,0.633,8,0.75,0.7,0.6,0.2,526.9
TinyLlama 1.1B,33,0.242,0.0,0.0,25,0.0,0.0,0.0,8,1.0,0.0,0.0,0.0,0.0
Qwen2 1.5B,33,0.242,0.0,0.0,25,0.0,0.0,0.0,8,1.0,0.0,0.0,0.0,0.0
Llama3.2 3B,33,0.727,1.0,1.0,25,1.0,0.96,0.98,8,0.0,1.0,0.9,1.0,720.6
Phi-3 3.8B,33,0.242,0.0,0.0,25,0.0,0.0,0.0,8,1.0,0.0,0.0,0.0,0.0
